❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️نفسي اعمل قلوب بعدد سنين عمري .أنا فتحت عيني علي فوازير شريهان وافلامها وكنت باقلدها تسريحة الشعر  وحست اني رجعت طفله لما شفتها،❤️ I love you❤️,positive
"اول مشهد اول سقطة you can hear me now ..
صيغة السؤال المفروض تبقى can you hear me now",neutral
مين لاحظ شعار bts 🙂,neutral
خرة يا فنانة انا للأسف عملت كومنت وعملت ليكم قيمة بس حرفيا اوسخ اغنية سمعتها في حياتي انتوا couple لايق على بعضه,negative
احب اقول لاي واحده بتحب ال bad boys ان ال bad boys end badly,neutral
Number 1 اخيرا المشهد دا افضل مشهد في الحلقه,positive
حد لاحظ حاجه في يا سمين عبد العزيز لبسه dress با التاكت,negative
يا جماعه عندي امتحان بكره ادعولي بالله عليكم، محدش يطنش ، ومحدش يقولي فاتح YouTube ليه باخد Break استراحة,neutral
"Logistics means a coordination and an execution by involving many people, facilities and supplies such as the Army or the Navy.              إدارة التخطيط والتنفيذ فيما يخص الأعمال التي تدار في الهيئات الحكومية مثل الهيئة البحرية والجيش والكهرباء والموارد الطبيعية وغيرهم .",neutral
"الناس اللي عاملة unlike 
مش هاتموت موتة طبيعية اقسم بالله",negative
حلم طفلتى الجميله انا كنت منتظركى وحشتينى اوووووووووى وحمدلله ع السلامه نورتى Tv ودا فعلا احلى رمضان بنسبه لى انا بحبك جداااا وكنتى وحشانى جدا جدا ❤️💋❤️💋❤️,positive
"ايه الخرا دا
Waste of 5 minutes",negative
"اعلان تامر دايما ماشاء الله بيكون مليان بالروح العاليه وحب البلد
برافو يا تيمو. We اعلان هادف وقوى",positive
"يوسف الشريف بجد انا عاجز عن الكلام انت عملت ال انا كان نفسي اعمله اني ادخل الاستيل ده مصر انا بقالي سنة شغال بعافر وبتعلم Aftereffects ,premiere, Autodesk Maya وبرامج المنتاج بشكل عام علشان اول ماخلص 5 سنين هندسة اشتغل مونتير واطلع الشغل ده ..",positive
عليه حتة Hey Suger يالهوى تجنن❤️😍😘,positive
الناس اللى عامله dislike  مش هيموتو موته طبيعية,negative
يوسف الشريف  number 1 ❤️,positive
هيفا وبس كوين love you,positive
كل بتوع مسرح مصر و snl,neutral
"Provide useful videos, please support me and subscribe to me بقدم فيديوهات مفيدة بليز دعموني و اشتركوا عندي",neutral
I love الجميلة منى الشاذلي 🌹💗💘,positive
فيلم Fake,negative
ايه ال shit ده,negative
"أستاذ أكرم حسني ممكن طلب لو سمحت🙂🙏
أنا عايزه تلات او اربع سطور تمدح فيهم بنت بس تكون القافيه على وزن( أزل )لان انا اسمي أزل 
وهكون ممنونه ليك طوول عمري 🥰😊😊😊والله العظيم انا بحبك اوي وعشمانه بيك انك مش هتردني 🙏🙏😁❤❤❤❤❤
ويستحب لو فيها كلمات بالعراقي عشان انا من العراق وعمري 17 سنه بس بتكلم مصري حتى تفهمني بس🥰   Love  you 😍♥",positive
تحية لبنات الواو WOW 😘😘😘😘😘😘😘,positive
نفسي اعرف الناس اللي بتعرف dis like  الناس ده بتفهم ولا بتعمل من غير ماتشوف الفيديو ايه الهري ده,negative
هما الي حطو dislike ضاربين حاجة يعني ولا اي,negative
فى  قناة جميله لل العاب جميله جدا اسمها  The hero Gaming يا ريت تشوفوها وممكن تشتركو فيها,neutral
"https://youtu.be/ABHYOrVE_B0
ملخص للمسلسل الاسطوره breaking bad",positive
"ما شاء الله touch wood
مثاليه فى الجهل",negative
حاجة 5 نجوم اكنك بتتفرج علي فلم 5 نجوم holywood شكلة فشييييييسييخ,positive
احلي اغنية سمعتها في حياتي i love you abo,positive
اللي دايس dislike احب اقولك انت مبتفهمش,negative
Jennifer Lawrence & Shailene Woodley مش عارف ليه  كل اما اشوف مى افتكر,neutral
لكل اللي عنده اولاد في المدارس زور قناه yhya fathy,neutral
لاحظت لما قالت شيماء princess قامت مي غطت يديه,neutral
يمكن عدت فيديو الف مره ولا مليت منه احله غنيه شفته بحياتي مصر   عراق   I Iove you,positive
"Like like like 
اجمد حلقه 
حمدى المرغني 🙏",positive
أغلى جميلة  حلوة  ♥       Love,positive
عروض سوق كوم على جوال آيفون SE الجديد  https://s.arabclicks.com/s/1k064Sto5,neutral
اغنية tooooooooop,positive
"شاهدوا الفيلم الوثائقي القصير عن تجربة شخصية فتحت ملف وقضية إنسانية عالمية 

Watch the short documentary on a personal experience that opened up a file and a global human cause

https://www.youtube.com/watch?v=UlcyRWo5FMs",neutral
تامر تامر تامر فخورة بيك يا روحى الله يحفظك يارب ⁦♥️⁩ الاعلان حاجه تحفهههههه بجد بتغيب و ترجع بحاجه تفرح 😍😍😍😍👏 super proud,positive
"Beautiful ad 
الله يسعدكن",positive
"فرقة B.I.J الكورية  غنت هاي الاغنية معلش تدعموهن واعتقد انو واجبنا نحن العرب ندعمهن خلين يعرفو انو العرب بيدعموهن 
رجاءا تدعموهن please",neutral
"( شغل Online Marketing بمرتب ثابت 3000 + BOUNCE اسبوعي ف بكل سهوله يوصل   TOTAL=6000 EGP في الشهر .... الشغل من 20 ل 25 ساعه في الاسبوع للجادين فقط 01552910884
01119953970",neutral
هما ال 487 اللي عاملين dislike دول ....انتوا بتفهموا منين لا مؤاخذه ....اه سوري تلاقيكوا من مشجعين الليثي وسعد الصغير واوكا واورتيجا ..  يلا جاتكوا داهيه,negative
"مفيش لعبة اقوي من لعبة لكن في لاعب اقوي من لاعب 
Coach    
   Mina adel",neutral
في 210 مبيفهموش في الفن اصلا عملين dis like,negative
ليه مو mbc 🥲,neutral
156 حمار عاملين Dislike,negative
"اتمنى اللى يشوف تعليقي يشرفني باشتراك
Subscribe to my channel, friends, thanks everyone",neutral
مفيش مهرجان سمعته بالصدفة الا وكان ال dislike سابق.... عملتوا من السفهاء نجوم,negative
أعلان حلوو أنا هحول علي vodafone يـــا رجالة ♥,positive
اتمنى من محمد رمضان🇪🇬 يعمل فيديو كليب مشترك مع soolking 🇩🇿🌸,neutral
حد عارف اسم الاغنية يجدعان shazam مبيجبهاش؟؟,neutral
"الأغنية دي بحبها بشكل عجيب 🥰 احساس أحمد والعسيلي فيها مش طبيعي والفيلم كله بشوفه كل شهر عالاقل مرة.. بجد برافو لكل الناس اللي فالفيلم 💙بستمتع فكل مرة بشوفه كأني بشوفه اول مرة.. فيه سحر عجيب.، بجد بالنسبه ليا فيلم للتاريخ
هابي نيو ييير اووول 💙💙💙
25 ديسمبر ٢٠٢٠
محبتكم 💙🥰💙  princess Emy 💙🥰💙🥰",positive
كوبل toppp,positive
اللي بيعمل dislike ده متخلف تقريبااا,negative
شكله هيبقى فيلم جامد The Mountain وتايسون,positive
"انا لما بحب بجن ريمكس Ramix 🔱أمجد جمعة 🌍 / Abdalqader Abo Jesh
https://www.youtube.com/watch?v=kTcrrX9vw0k",neutral
"عـمـرو واحــد بــس♥️♥️
AMR ONE ONLY ♥️♥️",positive
كميه positive energy جامده ،😍😍,positive
نهتوها نهية زبالة اقسم بالله كنت هعمل unsubscribe بعد الهبل الي فالاخر ده,negative
لو سمحتوا ممكن تشوفوا  قناه اليتيوب بتاعتي انا بقدم covers للاغاني العربي والانجليزي وبعمل تحديات  ومتنسوش تعملوا لايك وكومنت برايكوا وشير للفيديو ولو عايزين تشوفوا الجديد اعملوا اشتراك فالقناه . شكرا,neutral
واووو جد حلوه يسراا بيجنن صوتهاا love you  من الأردن,positive
شاهد الان الحلقة الأولى HD من مسلسل  #وش_تانى  بطولة كريم عبد العزيز على  #الحياة_مسلسلات  ,neutral
الصياد افضل مسلسل لي و الstory structure مختلف عن بقيت المسلسلات,positive
"عاااااش بجد اعلان اورانيج good ,",positive
ياااااا فرقه BiG غنتهه شوفوهه 😍😍😍😍😍😍😍,positive
إعلان مكي LOVE,positive
اللي عملين dislike انتوا ناس معاقين,negative
My idol 🤩 الراجل الطبيعي التلقائي,positive
و ربنا اللي عامل dislike دا مش بيفهم في الاغاني :/,negative
"You are number zero, Jew   انت رقم صفر يهودي",negative
الناس اللى عاملين dislike اكيد دول المتحرشين :D ,negative
بصراحة مش حلو disgusting,negative
"لما شفتك قلبي دئ تلات دقات 😍🙈
انــت آلحب 💜..
 Mohammed",positive
الله  WoW,positive
الي عاملين dislike عقلكو فين!,negative
Snl بالمصري,neutral
احله اغاني شفتها في حياتي😍تلات دقات   ابو ويسرا love,positive
"الكراسي تغيروا 
New chairs wow",positive
ليش رامز ما يسوي مقلب باحد اعضاء bts,neutral
احلي اغنيه هي تلات دقات ❤ I love it so much,positive
moamen صح وربناا +2,positive
اللحن الاصلي للاغنية الميلودي مسروقة من اغنية في سنة 1974 ل jean Gabin,negative
"غنية تهبل ❤❤❤
Greetings from Algeria ❤",positive
"غير صحيح الدعاية بان الحلقات موجودة على watch it 
اشتركت واتفاجأت ان مسلسل الاختيار ٢ مش موجود ضمن اعمال ٢٠٢١😡",negative
ممكن كلمات الأغنية في message واحده,neutral
"very nice tamer 
فنان و الله",positive
"رجاءا يا استاذ مهدى  تريلر رياكشن لفيلم""velvet buzsaw ""هيعجبك```````````````",positive
مين العرص اللى عامل dislike,negative
"يا بنت الحرامية سارقه الفكرة من Indila - la derniere danse

يا حراميا",negative
اجمل dis like لاخرا محمد رمضان 😂,negative
"احبكم i love you,,,😘🥰🥰🥰🥰🥰🥰🧐🥳👸🤴❤️❣️",positive
يايا لو مكنش كسب كنت عملت unsubscribe فوراً❤️,positive
I love Egypt🇪🇬🇪🇬🇪🇬 انا مصرية,positive
"Sorryyyyyyy
مافيش غير هيفا وحده
‎@HaifaWehbe",positive
"كم واحد محترم فيكم هيقرا تعليقى للاخر😭
ممكن تشتركوا بقناتى ⁦❤️⁩ انا بتعب ع محتواى ،مونتاح،صورة مصغرة ،تسجيل 
🔥محتاج مشتركيين يكونوا بيتفاعلوا ع الفيديوهات THANKS ❤️",neutral
"بحب ضحكتك المجنونة كتير 😍 
Good luck 🍀 💓",positive
بجد اعلان يجنن والاغنية كلماتها تحفه كفاية اني كل ماشوفه بيرسم البهجه والسعاده ع وشي وكل اللي فيهم اجمل من بعض شيري والسقا وليلي ومنه واسعاد وشريف ودرة وسمووورة حلوووين بغباء😍😍😃 شكرا vodafone Egypt,positive
The song went missing احلى صوت ♥💋,positive
ال جاي من bmians يدوس لايك 😁,neutral
هو ده number 1 بجد 👏👏👏👏,positive
نت ايه بس ويكتر ايه انا مشفتش بجاحه اكتر من بجاحة we,negative
بدي أفهم يلي عامل dislike على هالاغنية ليش فايت عليها بالأساس...... عالم ما بتفهم صحيح ولا عندن إحساس ولا مشاعر.... ولك هي شيريييييين,negative
يا عم فين مراجعة Loki,neutral
فرحت اول مرة تحدث في الوطن العربي bravo من الجزائر,positive
هو سؤال بسيط ليه تكذب وتكتب اسم غير اسم المسلسل ما هو كده كده الناس هتتفرج عليه وتعرف انك كذاب وتعمل dislike و unsubscribe,negative
726 عاملين dislike دول موش بيفهمو,negative
wow تحفة,positive
الفديوكليب ذكرني بفلم al pacino scarface,neutral
الله عليك يا فنان from sudan,positive
"الاغنية لما تسمعها بالسماعات وبصوت عالي تحس نفسك طاير بالسما تحياتي من العراق الى اختنا و وعزيزتنا مصر 
FROM IRAQ to  MISR💜💜💜💜",positive
"اشتركوا فى قناتى عشان يوصلكم كل الجديد والحصرى Subscribe for my channel 
 #لمشاهدة_كل_الجديد_والحصرى_من_خلال_صفحتنا_على_اليوتيوب https://www.youtube.com/user/ELHOSSENYsinger/featured
صفحتى على الفيسبوك https://www.facebook.com/mahmoud.alhosseny.singer/?ref=bookmarks",neutral
مجموعة مراكب Sky للسهرات والرحلات المميزه(خطوبه..فرح..اعياد ميلاد..اي خروجة روقان ف النيل😂) القاهره أمام فندق الفور سيزون......اللي يحب يتواصل معانا ويحجز عاملين عروض مميزه بمناسبة العيد.....وكل سنه وحضراتكم طيبين,neutral
شباب ممكن تروحون ل قناتي و اسم القناة abdalrahman syr,neutral
يا حلو i love this song,positive
المفروض تنزلوا حلقات المسلسل كاملة عل يوتيوب مش شرط لمشتركين watch it ده مسلسل وطني و الكل لازم يشوفه اي وقت,negative
أنا أسمعها مع قطتاي lora  و  minou,neutral
يعني ضاقت بيكم الأفكار رايحين تغشوا من راقص ألماني Sven Otten - JustSomeMotion,negative
مين بيسمعها في زمن الكرونا 2020 😂🤦‍♂️ Facebooky,neutral
"لعب اطفال أون لاين Online toys store #al3aby 
#kids #toys #العاب #أطفال 
https://www.facebook.com/Al3aby-العابي-509015366510523/",neutral
Dislike وبجدارة,negative
12 الف متوحد عملوا dislike عاش,negative
"
من اول متقابلنا ي حبيبي ونا عايش احلي ليالي دنا كل كلمتين اقول حبيبي وبقولها كمان في خيالي 
يالي الدنيا بترقص ونت معايا خدني في حضنك وارقص يلا معايا دنت حكايتي وهي دي احلي حكايه يلا تعالي نعيييييش 
...... ااااااه ❤️❤️
Love you amr diab💋 ❤️",positive
"I love your reviews ....👍
و الفيلم فعلاً حلو ..",positive
red carpet طالعه منه عسل 😂😍❤️,positive
الناس اللي عملت dislike دي ناس الاغنية فكرتم بحاجات وحشة مش اكتر,neutral
نسل الاغراب vs موسى,neutral
"Dislike
ديسلايك يا محدث",negative
انا عملت subscribe  علشان صافي ميعيطش و الله 😂,positive
"تجنن❤ بس ارجوكم نعرف ال top, middle and base notes for the perfume
ومين ال perfumer, who is the perfumer behind the perfume??",positive
"عسل ولله 🥺❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
اعلان قمر زيك مش قادره ابطل اتفرج عليه 🥺❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤love you sherihan ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",positive
الاغنية بتجنن اليوم عرفت عنها من joe boughazaly قال انها حلوة اكتير فقلت اجي اشوفها وبجد طلعت تجنن  برافو حمادة هلال,positive
بلا منافس Number 1👌 ❤️,positive
مشأ الله عليك Top 1 عمرو دياب 💙💙💙👍,positive
"No one:
Literally no one:
Me: احنا فرش وفرافيش احنا فرش نحب نعيش",neutral
سؤال بقالوا خمس سنين في بالي ..هم الي عملوا الفيلم وصرفوا فلوس ماكان في بالهم الملاحظات الي تقولها حضرتك؟؟ طيب بعد الشهره الواسعه ليك ليه مافيش حد يقولك  تعال  شارك معانا او على الاقل عاوزين رايك في العمل ؟؟ تكرار الأخطاء بشكل متكرر دليل على ان مفيش حد بيسمع ويرى..وطالما مفيش feedback يبقى ايه الفايده من الكلام؟مفيش فايده,negative
هو الالف اللي عاملين dislike دول تعبانين؟؟ للدرجادي مفيش احساس💔💔😢,negative
واااااو فعلا شكله فييلم راقي وجميييل ، I'm waiting 😻♥♥♥,positive
خمسه جنيه  red bull can never,neutral
"فيلم the nun حلو اوووي للي بيحبه الرعب اتفرجو عليه وادعموني بليز دوسو ع لينك الفيلم
http://neswery.com/2CNV",positive
"عدد اامشاهدات حاليا 
287 million views 😍😍😍😍😍😍😍😍😍😍😍😍",positive
"حبيبي حمدي اضحكنا فعلن ان فخور اني من بلدوه بجد انا فخور سيد علي
سيكو النوبي ---LOVE MY HAMDY ELMARGHNY",positive
صراحة منة عرفة امورة بس الحق يتقال لو حمادة غنى مع zombie حتطلع قمر جنبه 🥰🥰🥰,positive
كل دي views  ماشاء الله,positive
كل الناس لابسا pink الموسم هادا هههه,neutral
الاغنية مو حلوة ابدا.. اجيت بعد المشكلة.. وتمثيل fake مبين,negative
عندي مشكله كل ما اجي اعمل باقه X بيقولي عفوا لا يمكنك الاشتراك في هذه الخدمه لي 🤔,neutral
محبين الفنان تامر حسني يضغط لايك ويكتب الرد ومحبين we كمان وفعلا الله الله على المصريين الله واي حد بيتعامل مع المصريين يطمن مليون في الميه لانهم اهل الجدعنه والشهامه والرجوله والصفات الحلوه كلها في اهل مصر,positive
احلى 3 دنيا سمير وظافر عابدين وهند صابرى البيحبهم يعمل like 💟💐💞💗💖,positive
Such an inspirational interview من اروع المقابلات الملهمه الي تابعتها بحياتي.. دروس عظيمه في ساعه واحده فقط.. يسرا انسانه بمعنى الكلمه و انس محاور عظيم,positive
مش عارف ليه وحضرتك بتتكلم عن ملخص الفيلم حسيت انه نحتاية من فيلم lord of war بطولة نيكولاس كيدج .. الجريمة والحياة المذدوجة والشرطي الشريف الي بيتعقب بطل الفيلم والنهاية الغير متوقعة ... صح كده ولا انا خيالي راح لبعيد,neutral
150 m     واااو 😯 عز الله اخذ ذنوب الشعب  المصري ذاا 😂😂,negative
حلوه الساعه ال Rolex إللى احمد ملابسها دى,positive
نجم السرسجية bum bum عالخره,negative
ILove You  أبو,positive
ما تنسوا ال dislike لنقهر المعيز المفضوحين,negative
اشتركو في قناة Leqaa  & Retag هتعجبكم جدآ 💜❤️,neutral
ايه رايك بفلم Precious ؟,neutral
نفس الفيديو الي صوروه سوبر ام في اغنية jopping تقريبا.!!,neutral
جماعه ملحظتوش انو لابس السديري الاسود دا وعليه شعار BTS,neutral
Wooooooow من ليبيا المسلسل نااااااار ❤❤❤❤❤,positive
مراجعة free guy امتي ؟,neutral
زوجة صالحة بارك الله لكما وبارك عليكما وجمع بينكما في خير. Much love from Morocco 🇲🇦,positive
